scenario,window_index,start_time_sec,end_time_sec,state,label,audio_rms,audio_peak,audio_crest_factor,audio_kurtosis,audio_hilbert_env_mean,audio_hilbert_env_std,audio_hilbert_env_peak,audio_hilbert_env_crest,audio_hilbert_env_kurtosis,audio_shockwave_energy_ratio,audio_shockwave_pulse_count,audio_stft_2k8_db,audio_stft_harmonic_db,audio_spectral_centroid
abnormal_high_speed_20kph,177,126.4262,127.1392,abnormal,1,0.040367,0.168108,4.1644,-0.1522,0.050939,0.025774,0.174315,3.4221,0.0839,0.1879,85,-56.53,-64.48,3739.7
abnormal_high_speed_20kph,178,127.1404,127.856,abnormal,1,0.038868,0.155387,3.9979,-0.0253,0.048616,0.025648,0.158887,3.2682,0.0719,0.1972,83,-55.3,-64.41,3794.9
abnormal_high_speed_20kph,179,127.8562,128.5662,abnormal,1,0.036513,0.15149,4.1489,-0.0756,0.046103,0.023258,0.158436,3.4366,0.4056,0.1934,76,-57.54,-63.84,3861.7
abnormal_high_speed_20kph,180,128.5691,129.2804,abnormal,1,0.034663,0.151838,4.3805,0.1862,0.043299,0.022982,0.152745,3.5277,0.9828,0.2194,66,-56.53,-64.72,3848.8
abnormal_high_speed_20kph,181,129.2861,129.9963,abnormal,1,0.037242,0.175708,4.718,0.3588,0.046243,0.025211,0.193823,4.1914,1.4281,0.2263,69,-55.33,-63.32,3898.3
abnormal_high_speed_20kph,182,129.9992,130.7091,abnormal,1,0.034803,0.132567,3.809,-0.0387,0.043718,0.022611,0.137695,3.1496,0.101,0.1967,103,-56.62,-63.34,3912.7
abnormal_high_speed_20kph,183,130.7161,131.4262,abnormal,1,0.03529,0.16275,4.6119,-0.0309,0.044417,0.022755,0.163951,3.6911,0.4804,0.1987,90,-56.21,-63.65,3870.6
abnormal_high_speed_20kph,184,131.4263,132.1391,abnormal,1,0.036039,0.176086,4.886,-0.0048,0.045219,0.023513,0.176885,3.9118,0.3759,0.1993,92,-57.5,-63.97,3845.4
abnormal_high_speed_20kph,185,132.1409,132.8563,abnormal,1,0.0373,0.160579,4.3051,-0.0428,0.046921,0.024103,0.163311,3.4805,0.3382,0.1964,84,-57.41,-63.97,3814.8
abnormal_high_speed_20kph,186,132.8565,133.5664,abnormal,1,0.036164,0.143209,3.96,-0.0018,0.045409,0.023529,0.157236,3.4626,0.4764,0.204,85,-57.4,-63.42,3849.1
